density,nrmse,nrmse_std,vpt_steps,vpt_std,vpt_lyap
0.01,2.9469225049967473,0.5398209920757115,29.2,10.107423014794621,0.171000746003635
0.02,2.959646906483605,0.30713868993419097,35.0,6.0332412515993425,0.20496664760709674
0.05,2.131788570945632,1.2799433189022082,35.6,13.92264342716569,0.20848036156607555
0.1,2.396681812348137,0.414144714132684,44.2,12.983065893693986,0.25884359497810505
0.2,3.1276160558871426,0.31955356813887265,27.4,9.28654941299512,0.16045960412669857
0.5,2.709743954182572,0.26518816336186557,33.0,10.198039027185569,0.19325426774383406
1.0,2.2190389601447285,1.012257863973944,48.0,18.01110768387108,0.2810971167183041
