n_reservoir,nrmse,nrmse_std,vpt_steps,vpt_std,vpt_lyap
50,1.1791594860093118,0.855725975760684,12.2,1.5999999999999999,0.07144551716590229
100,1.6777468165661795,0.9205170437262709,11.8,1.9390719429665317,0.06910304119324977
200,2.4985067769020413,1.1575572308263928,11.0,0.6324555320336759,0.06441808924794469
300,2.8068031465746506,0.4152853569960856,30.8,10.43839068055991,0.18037064989424514
400,1.9818157910372811,1.1890388547671376,47.0,30.364452901377952,0.2752409267866728
600,2.131788570945632,1.2799433189022082,35.6,13.92264342716569,0.20848036156607555
800,2.9972316769649625,0.33943009767419147,42.2,7.678541528180986,0.24713121511484237
1000,2.3291376318516805,1.044734327956221,51.0,22.80350850198276,0.2986656865131981
