leak_rate,nrmse,nrmse_std,vpt_steps,vpt_std,vpt_lyap
0.1,0.34916503335297655,0.2504253124892965,98.8,9.6,0.578591565245176
0.15,0.19882600371580933,0.05195667828829698,129.2,53.629842438701985,0.7566197391667685
0.2,0.3330224358309709,0.34903368788142974,124.0,27.48090245970827,0.7261675515222856
0.25,0.3429102940430654,0.3385774550134572,137.8,63.99187448418745,0.806982972578798
0.3,0.17459759904176395,0.015697242482163688,104.4,14.22111106770494,0.6113862288623114
0.35,0.24769039569327966,0.0880729456814458,114.0,40.52159917870962,0.6676056522059722
0.4,0.3540438242589286,0.28951067480336545,111.2,37.4080205303622,0.6512083203974045
0.45,0.2210693110375732,0.03668008556303578,112.0,38.507142194663054,0.6558932723427096
0.5,0.18801381292519206,0.01889074616674916,101.8,9.579144011862438,0.5961601350400699
0.55,0.2053979121904203,0.05086441081787409,109.4,18.51053753946654,0.6406671785204682
0.6,0.25245782175735754,0.08552252791028829,116.6,35.61235740582193,0.6828317460282136
0.65,0.33936919851293823,0.16426673985095236,93.4,38.3437087408091,0.5469681396143667
0.7,0.7092938326156653,0.5280397595449557,82.0,17.297398648351724,0.4802075743937695
0.75,1.0562393868999158,0.8521146950287852,57.0,6.418722614352485,0.3338028261029861
0.8,1.8188676087416649,0.811522066019953,53.8,6.734983296193094,0.3150630183217658
0.85,2.075685893560898,0.6250965681617251,53.4,8.138795979750322,0.3127205423491133
0.9,2.2095458261086067,0.6608610576746211,54.0,13.98570698963767,0.3162342563080921
0.95,2.409489148327202,0.5085506912611465,47.0,16.721243972862784,0.2752409267866728
1.0,2.131788570945632,1.2799433189022082,35.6,13.92264342716569,0.20848036156607555
