spectral_radius,nrmse,nrmse_std,vpt_steps,vpt_std,vpt_lyap
0.3,0.8421544327779846,0.11022126681624284,11.4,0.48989794855663565,0.06676056522059723
0.35,0.8682238420160516,0.11446543879259725,10.8,0.39999999999999997,0.06324685126161843
0.4,0.6784721145353884,0.06451111311756252,10.4,0.48989794855663565,0.06090437528896589
0.45,0.5973969796336301,0.07763609317302297,10.4,0.48989794855663565,0.06090437528896589
0.5,0.5230170867122272,0.060277469658607814,11.0,0.6324555320336759,0.06441808924794469
0.55,0.5935153878091619,0.07045280431363612,10.8,0.39999999999999997,0.06324685126161843
0.6,1.3616305710083114,0.8278550585055747,10.4,0.8,0.06090437528896589
0.65,2.1510642223598104,0.8914184353078827,11.0,0.6324555320336759,0.06441808924794469
0.7,2.3376588330108183,0.9436470487382055,11.4,0.7999999999999999,0.06676056522059723
0.75,2.7855863436367883,0.05498578005836275,19.8,9.579144011862438,0.11595256064630044
0.8,2.7494419103577896,0.5143104431293564,34.6,14.691494137765567,0.2026241716344442
0.85,1.9463421501178484,0.9812332297554895,47.2,12.367699866992245,0.27641216477299907
0.9,2.131788570945632,1.2799433189022082,35.6,13.92264342716569,0.20848036156607555
0.95,2.769087419524172,0.5412987279733703,43.0,6.6332495807108,0.2518161670601474
1.0,2.3670260165716335,1.0370226404853284,52.6,19.845402490249473,0.30803559040380823
1.05,1.5967431292561787,1.3115326239716778,73.2,33.53445988829998,0.4286731029954138
1.1,0.6669336953047935,0.60341682886516,92.2,42.01618735677953,0.5399407116964091
1.15,0.5124049149838276,0.5926309882660642,82.0,15.582040944625964,0.4802075743937695
1.2,0.3305633587647029,0.3235420105384833,125.0,48.77294331901654,0.7320237414539169
1.25,0.2926937422623893,0.23560993790242102,124.8,52.24327707944822,0.7308525034675907
1.3,0.7705236119390744,0.9308868367945764,78.4,40.480118576901425,0.4591252906398967
1.35,0.669159081298229,0.46894175431269663,63.2,35.481826334054446,0.3701112036791004
1.4,0.4080401573098108,0.14175812323140394,50.2,25.576551761330144,0.29398073456789303
